model,test_set,regime_class,depth_level,rmse_T,rmse_S,r_T,r_S,n_profiles
oceanembed,temporal,all,-1.0,1.1884684562683105,0.22783073782920837,0.9881543775171181,0.95265224084068,636
baseline,spatial,well_mixed,0.0,0.49416816234588623,0.6773861050605774,0.908439330838349,0.6804598152280764,220
baseline,spatial,well_mixed,10.0,0.48434755206108093,0.6472867131233215,0.8987187271179973,0.6727326416252374,220
baseline,spatial,well_mixed,20.0,0.5598562955856323,0.597398042678833,0.8463659328133107,0.6361725048276496,220
baseline,spatial,well_mixed,30.0,0.6767394542694092,0.5568329095840454,0.7216492013698537,0.6002535951109079,220
baseline,spatial,well_mixed,50.0,0.6894861459732056,0.575128436088562,0.41304187952365906,0.5758282090388666,220
baseline,spatial,well_mixed,75.0,1.2979437112808228,0.5281796455383301,0.21754109840162494,0.4717493530718617,220
baseline,spatial,well_mixed,100.0,2.0533180236816406,0.2909387946128845,0.17852472384008733,0.26535183037490523,220
baseline,spatial,well_mixed,125.0,1.877478837966919,0.15063974261283875,0.3013228972385199,0.021438906222412006,220
baseline,spatial,well_mixed,150.0,1.5962042808532715,0.09117579460144043,0.3923935499741897,0.13529568706008066,220
baseline,spatial,well_mixed,200.0,0.9353281259536743,0.051575157791376114,0.3286262232561599,0.2950692765286962,220
baseline,spatial,well_mixed,250.0,0.48933035135269165,0.03234352171421051,0.26313861610542133,0.4143102365661151,220
baseline,spatial,well_mixed,300.0,0.35544314980506897,0.025835810229182243,0.07922498761148336,0.25439856474297473,220
baseline,spatial,well_mixed,400.0,0.22423796355724335,0.027295967563986778,0.020864860787273887,0.04101096879828951,220
baseline,spatial,well_mixed,500.0,0.20878535509109497,0.03163023293018341,-0.04661534013809529,0.028095213632567836,220
baseline,spatial,well_mixed,700.0,0.2010531723499298,0.03369210660457611,-0.04079650901950902,0.16413445239981167,220
baseline,spatial,well_mixed,1000.0,0.17402434349060059,0.02503557875752449,0.0991120438586793,0.21715093920153425,220
baseline,spatial,well_mixed,1500.0,0.16354012489318848,0.016127847135066986,0.13957959081556928,0.08384709584221024,220
baseline,spatial,well_mixed,2000.0,0.0856533795595169,0.011293948628008366,-0.03412189120447858,0.13592035763103166,220
baseline,spatial,well_mixed,-1.0,0.9350101351737976,0.36280450224876404,0.9945349385322692,0.9301183690731332,220
baseline,spatial,barrier_layer_stratified,0.0,0.575920581817627,0.9168058037757874,0.8531469473355968,0.5219405616330814,789
baseline,spatial,barrier_layer_stratified,10.0,0.5176018476486206,0.8848516345024109,0.8712704110320074,0.5374420556415039,789
baseline,spatial,barrier_layer_stratified,20.0,0.5082361698150635,0.7640561461448669,0.8354202676295136,0.5036218636225732,789
baseline,spatial,barrier_layer_stratified,30.0,0.6256039142608643,0.6808696985244751,0.6858878385249161,0.47564133566162936,789
baseline,spatial,barrier_layer_stratified,50.0,1.0345683097839355,0.6251840591430664,0.3006427530484073,0.386600968745822,789
baseline,spatial,barrier_layer_stratified,75.0,1.6594722270965576,0.4625873565673828,0.431250869015014,0.35533376653609683,789
baseline,spatial,barrier_layer_stratified,100.0,1.9031338691711426,0.24583017826080322,0.5147625401661206,0.2398309856534295,789
baseline,spatial,barrier_layer_stratified,125.0,1.7391607761383057,0.1399649977684021,0.4993655815639659,0.10002558982037767,789
baseline,spatial,barrier_layer_stratified,150.0,1.5598260164260864,0.10683303326368332,0.36655508497656447,0.08568253905508576,789
baseline,spatial,barrier_layer_stratified,200.0,0.986171305179596,0.06857361644506454,0.23469191674663745,0.17919113095319003,789
baseline,spatial,barrier_layer_stratified,250.0,0.6243307590484619,0.05313446372747421,0.20817270677585692,0.11214034803101304,789
baseline,spatial,barrier_layer_stratified,300.0,0.45403793454170227,0.04461219161748886,0.11956956276201805,0.10311255346796225,789
baseline,spatial,barrier_layer_stratified,400.0,0.2804732024669647,0.037318676710128784,0.13683419671751254,0.11860126714504143,789
baseline,spatial,barrier_layer_stratified,500.0,0.24204814434051514,0.03848619759082794,0.16345667193722085,0.14653179111593745,789
baseline,spatial,barrier_layer_stratified,700.0,0.2132628858089447,0.038697708398103714,0.09501829422135537,0.20706477739877643,789
baseline,spatial,barrier_layer_stratified,1000.0,0.19919061660766602,0.030607936903834343,-0.03737863226864043,0.19189706075699378,789
baseline,spatial,barrier_layer_stratified,1500.0,0.18170888721942902,0.02487531676888466,-0.18455996790819576,0.15080646686694973,789
baseline,spatial,barrier_layer_stratified,2000.0,0.11196863651275635,0.035267360508441925,-0.39124907545343535,0.10397915476304535,789
baseline,spatial,barrier_layer_stratified,-1.0,0.9620306491851807,0.4426548480987549,0.9941079559972131,0.9202289596562411,789
baseline,spatial,upwelling,0.0,0.455417275428772,0.38292327523231506,0.2609295301719249,0.362565743193633,35
baseline,spatial,upwelling,10.0,0.42579543590545654,0.37789011001586914,0.2932665554825588,0.3740448978516594,35
baseline,spatial,upwelling,20.0,0.41050881147384644,0.3714820444583893,0.2814841166169624,0.3422616159259826,35
baseline,spatial,upwelling,30.0,0.5051245093345642,0.3688758313655853,0.29890850309679945,0.3193876799531694,35
baseline,spatial,upwelling,50.0,1.079540729522705,0.367047518491745,0.42594791672041443,0.14054098750355826,35
baseline,spatial,upwelling,75.0,2.0344061851501465,0.23986761271953583,0.31658357104766116,0.2280400940742381,35
baseline,spatial,upwelling,100.0,2.2471306324005127,0.1902114301919937,0.3961354570926798,-0.2215298776241154,35
baseline,spatial,upwelling,125.0,1.9960993528366089,0.14966773986816406,0.540474343644315,-0.3662132926515209,35
baseline,spatial,upwelling,150.0,1.6196194887161255,0.09820137172937393,0.39757297495091976,0.04450619970122207,35
baseline,spatial,upwelling,200.0,1.243123173713684,0.053959961980581284,0.100035289465045,0.15248823505560757,35
baseline,spatial,upwelling,250.0,0.7379925847053528,0.03999044746160507,0.2056833344729221,0.16380711535888828,35
baseline,spatial,upwelling,300.0,0.38414275646209717,0.01875300146639347,0.33703048637976335,0.40293205990203684,35
baseline,spatial,upwelling,400.0,0.22287139296531677,0.02198837138712406,0.3144830602802755,0.47390373575324396,35
baseline,spatial,upwelling,500.0,0.1795126348733902,0.022966358810663223,0.3603220187551871,0.516701258432532,35
baseline,spatial,upwelling,700.0,0.15612992644309998,0.01820223405957222,0.3033408751602949,0.4086829811338135,35
