model,test_set,regime_class,variable,n_points,calib_error,cover_68,width_68,cover_80,width_80,cover_90,width_90,cover_95,width_95
oceanembed_lp30,spatial,barrier_layer_stratified,T,13622,0.01115576601191337,0.7053296138599324,1.5882868766784668,0.8169872265452944,2.0468058586120605,0.9032447511378652,2.627021551132202,0.9458229334899427,3.130258798599243
oceanembed_lp30,spatial,barrier_layer_stratified,S,13622,0.027080370240567413,0.7366025546909412,0.5254958868026733,0.8358537659668184,0.6772001385688782,0.9134488327705182,0.8691686391830444,0.9527235354573484,1.035668134689331
oceanembed_lp30,spatial,upwelling,T,606,0.01988404912317593,0.6881188118811881,1.435781717300415,0.8184818481848185,1.8502745628356934,0.8910891089108911,2.3747785091400146,0.9323432343234324,2.829695701599121
oceanembed_lp30,spatial,upwelling,S,606,0.055152710394505776,0.7887788778877888,0.35943999886512756,0.8927392739273927,0.46320587396621704,0.9438943894389439,0.5945126414299011,0.971947194719472,0.7083985805511475
oceanembed_lp30,spatial,all,T,18036,0.01070352040835563,0.699822577068086,1.561907172203064,0.8108782435129741,2.012810707092285,0.898092703481925,2.5833897590637207,0.9414504324683965,3.0782687664031982
oceanembed_lp30,spatial,all,S,18036,0.030120568359878912,0.7431248613883344,0.5158413648605347,0.8420935905965846,0.6647585034370422,0.9162231093368818,0.8532001376152039,0.9544244843646041,1.0166407823562622
oceanembed_lp30,temporal,well_mixed,T,8259,0.034732491347608134,0.6235621745974089,1.7125804424285889,0.7418573677200629,2.206981658935547,0.8556725995883279,2.8326029777526855,0.9203293376922146,3.3752214908599854
oceanembed_lp30,temporal,well_mixed,S,8259,0.018717962775857532,0.6615813052427655,0.33923694491386414,0.7733381765346894,0.43717047572135925,0.8710497638939338,0.5610968470573425,0.9226298583363604,0.6685816049575806
oceanembed_lp30,temporal,barrier_layer_stratified,T,1405,0.021956072638809707,0.7217081850533807,1.6344029903411865,0.8241992882562278,2.1062352657318115,0.8953736654804271,2.7032976150512695,0.9402135231316726,3.221146583557129
oceanembed_lp30,temporal,barrier_layer_stratified,S,1405,0.008300915014866257,0.6661921708185053,0.3067784607410431,0.7800711743772242,0.395341694355011,0.8790035587188612,0.5074106454849243,0.9409252669039145,0.6046111583709717
oceanembed_lp30,temporal,upwelling,T,857,0.013277565203734862,0.6802800466744457,1.9142754077911377,0.7957992998833139,2.4669034481048584,0.882147024504084,3.166205883026123,0.926487747957993,3.7727301120758057
oceanembed_lp30,temporal,upwelling,S,857,0.03279150033181573,0.7421236872812136,0.3485604524612427,0.8494749124854143,0.44918563961982727,0.9171528588098017,0.5765179395675659,0.9533255542590432,0.6869567632675171
oceanembed_lp30,temporal,all,T,10521,0.026042654650980813,0.6412888508696892,1.7185697555541992,0.7572474099420207,2.2146999835968018,0.863130881094953,2.8425092697143555,0.9234863606121091,3.387025833129883
oceanembed_lp30,temporal,all,S,10521,0.015313607075438818,0.6687577226499383,0.33566176891326904,0.780439121756487,0.43256324529647827,0.8758673129930615,0.5551836490631104,0.9275734245794126,0.6615356206893921
